Age,Job,Marital,Education,Default,Housing,Loan,Contact,Month,Day,Duration,Campaign,PrevDays,Previous,PrevOutcome,EmpVarRate,ConPriceIndex,ConConfIndex,EuriborRate,NumEmp
29,entrepreneur,married,basic6y,no,no,no,telephone,may,fri,217,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191
25,blue-collar,single,basic9y,no,no,no,cellular,may,fri,299,3,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1
37,blue-collar,married,professional,no,no,no,telephone,jun,thu,11,7,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1
31,technician,married,university,no,no,no,cellular,aug,fri,168,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1
37,admin,married,university,no,no,no,telephone,jun,mon,85,8,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1
49,housemaid,married,professional,no,yes,no,telephone,jul,thu,645,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
48,blue-collar,married,basic9y,no,no,no,cellular,may,thu,214,1,999,1,failure,-1.8,92.893,-46.2,1.266,5099.1
52,technician,married,professional,no,no,no,cellular,jul,fri,221,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1
35,management,married,university,no,yes,no,cellular,apr,thu,584,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1
34,management,married,university,no,no,no,telephone,may,thu,200,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191
26,admin,single,highschool,no,yes,no,telephone,aug,wed,170,1,999,0,nonexistent,-2.9,92.201,-31.4,0.854,5076.2
43,admin,married,university,unknown,no,no,telephone,may,fri,266,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191
50,admin,married,highschool,unknown,no,no,telephone,may,wed,225,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191
30,technician,single,professional,no,yes,no,telephone,may,mon,116,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191
42,admin,married,professional,no,yes,no,cellular,may,mon,174,1,999,0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1
57,retired,married,basic4y,no,no,no,telephone,may,wed,97,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191
29,admin,married,basic9y,no,no,no,cellular,nov,thu,143,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8
30,blue-collar,single,highschool,no,no,no,cellular,nov,mon,250,1,999,0,nonexistent,-3.4,92.649,-30.1,0.714,5017.5
44,blue-collar,married,basic4y,no,no,no,cellular,nov,thu,62,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8
